transaction_id,user_id,product_sku,amount,payment_method,country,transaction_hour,is_fraud
TXN_000001,USER_0166,SKU_00873,65.48,Cash,UK,18,0
TXN_000002,USER_0414,SKU_00173,338.44,PayPal,Germany,12,0
TXN_000003,USER_0186,SKU_00899,17.48,Bank Transfer,UK,20,0
TXN_000004,USER_0032,SKU_00406,135.01,Credit Card,Australia,20,0
TXN_000005,USER_0493,SKU_00155,16.4,Bank Transfer,Germany,0,0
TXN_000006,USER_0066,SKU_00183,453.74,Bank Transfer,France,4,0
TXN_000007,USER_0179,SKU_00323,11.06,PayPal,Australia,21,0
TXN_000008,USER_0267,SKU_00289,114.47,PayPal,UK,10,0
TXN_000009,USER_0443,SKU_00258,131.68,PayPal,USA,10,0
TXN_000010,USER_0404,SKU_00587,101.49,Bank Transfer,Australia,12,0
TXN_000011,USER_0037,SKU_00174,22.71,Cash,Australia,1,0
TXN_000012,USER_0201,SKU_00330,18.99,Bank Transfer,Australia,18,0
TXN_000013,USER_0358,SKU_00231,389.76,PayPal,UK,15,1
TXN_000014,USER_0049,SKU_00759,155.77,Bank Transfer,UK,4,0
TXN_000015,USER_0275,SKU_00161,153.66,PayPal,Germany,13,0
TXN_000016,USER_0439,SKU_00186,173.46,PayPal,France,18,0
TXN_000017,USER_0168,SKU_00903,11.75,Credit Card,Australia,4,0
TXN_000018,USER_0263,SKU_00143,11.4,Cash,Germany,20,0
TXN_000019,USER_0133,SKU_00282,27.9,PayPal,Germany,23,0
TXN_000020,USER_0495,SKU_00907,33.8,Credit Card,France,8,0
TXN_000021,USER_0298,SKU_00640,30.38,Cash,Germany,23,0
TXN_000022,USER_0344,SKU_00678,72.06,PayPal,France,11,0
TXN_000023,USER_0176,SKU_00027,166.54,Cash,USA,15,0
TXN_000024,USER_0489,SKU_00246,40.69,Cash,France,18,0
TXN_000025,USER_0391,SKU_00487,24.16,Bank Transfer,Canada,14,0
TXN_000026,USER_0011,SKU_00647,123.09,Credit Card,France,16,0
TXN_000027,USER_0201,SKU_00897,82.36,Cash,France,14,1
TXN_000028,USER_0433,SKU_00202,60.78,Bank Transfer,Canada,2,0
TXN_000029,USER_0414,SKU_00021,39.15,Cash,France,16,0
TXN_000030,USER_0297,SKU_00591,76.71,Bank Transfer,UK,12,0
TXN_000031,USER_0003,SKU_00670,19.81,PayPal,Germany,8,0
TXN_000032,USER_0214,SKU_00094,112.87,PayPal,Germany,12,0
TXN_000033,USER_0296,SKU_00008,52.84,Bank Transfer,USA,15,0
TXN_000034,USER_0307,SKU_00472,25.42,PayPal,USA,18,0
TXN_000035,USER_0468,SKU_00339,92.85,PayPal,Canada,13,0
TXN_000036,USER_0032,SKU_00259,25.4,PayPal,UK,7,0
TXN_000037,USER_0048,SKU_00055,26.55,Cash,USA,21,0
TXN_000038,USER_0327,SKU_00911,16.42,Bank Transfer,Germany,18,0
TXN_000039,USER_0252,SKU_00548,9.94,Credit Card,USA,23,0
TXN_000040,USER_0199,SKU_00006,93.16,Credit Card,USA,2,0
TXN_000041,USER_0404,SKU_00377,350.3,Bank Transfer,France,22,1
TXN_000042,USER_0089,SKU_00554,34.79,Cash,USA,20,0
TXN_000043,USER_0109,SKU_00050,24.57,PayPal,Canada,17,0
TXN_000044,USER_0291,SKU_00112,8.91,PayPal,Germany,15,0
TXN_000045,USER_0108,SKU_00146,6.21,Cash,Canada,13,0
TXN_000046,USER_0408,SKU_00230,112.93,Credit Card,Canada,15,0
TXN_000047,USER_0040,SKU_00723,7.58,Bank Transfer,Australia,23,0
TXN_000048,USER_0461,SKU_00497,17.39,Bank Transfer,UK,16,0
TXN_000049,USER_0052,SKU_00306,72.49,Cash,Australia,19,0
TXN_000050,USER_0112,SKU_00542,59.72,PayPal,Australia,10,0
TXN_000051,USER_0295,SKU_00461,151.08,PayPal,France,12,1
TXN_000052,USER_0068,SKU_00807,54.98,PayPal,Canada,10,0
TXN_000053,USER_0189,SKU_00628,38.21,Bank Transfer,UK,3,0
TXN_000054,USER_0332,SKU_00908,17.5,Credit Card,Germany,13,0
TXN_000055,USER_0209,SKU_00226,28.96,Bank Transfer,Germany,4,0
TXN_000056,USER_0065,SKU_00059,40.89,Cash,UK,3,0
TXN_000057,USER_0062,SKU_00076,8.25,Bank Transfer,Canada,0,0
TXN_000058,USER_0465,SKU_00428,24.87,Cash,Canada,13,0
TXN_000059,USER_0258,SKU_00728,37.63,Bank Transfer,France,6,0
TXN_000060,USER_0134,SKU_00132,27.41,Credit Card,France,9,0
TXN_000061,USER_0492,SKU_00932,38.76,Cash,Australia,1,0
TXN_000062,USER_0122,SKU_00498,106.56,PayPal,Germany,9,0
TXN_000063,USER_0331,SKU_00816,120.48,PayPal,France,2,0
TXN_000064,USER_0171,SKU_00910,247.49,Bank Transfer,UK,20,0
TXN_000065,USER_0210,SKU_00593,12.09,Bank Transfer,Germany,7,0
TXN_000066,USER_0296,SKU_00305,35.85,Credit Card,Canada,9,0
TXN_000067,USER_0089,SKU_00067,186.34,Credit Card,Germany,7,0
TXN_000068,USER_0167,SKU_00230,9.53,PayPal,USA,13,0
TXN_000069,USER_0028,SKU_00983,16.84,Bank Transfer,Germany,17,0
TXN_000070,USER_0238,SKU_00333,29.5,Cash,France,8,0
TXN_000071,USER_0336,SKU_00905,421.71,Credit Card,UK,21,0
TXN_000072,USER_0063,SKU_00277,41.2,Cash,Canada,8,1
TXN_000073,USER_0448,SKU_00873,161.39,Cash,Canada,3,0
TXN_000074,USER_0255,SKU_00584,53.1,Credit Card,France,2,0
TXN_000075,USER_0396,SKU_00721,17.35,Bank Transfer,France,13,0
TXN_000076,USER_0041,SKU_00784,897.69,Cash,France,13,0
TXN_000077,USER_0029,SKU_00144,66.33,Bank Transfer,USA,20,0
TXN_000078,USER_0279,SKU_00251,79.54,Cash,UK,15,0
TXN_000079,USER_0469,SKU_00796,93.18,Bank Transfer,USA,4,0
TXN_000080,USER_0080,SKU_00691,86.22,Bank Transfer,France,19,0
TXN_000081,USER_0051,SKU_00952,469.69,Bank Transfer,UK,22,0
TXN_000082,USER_0112,SKU_00080,325.69,Bank Transfer,France,23,0
TXN_000083,USER_0361,SKU_00057,21.51,Credit Card,UK,14,0
TXN_000084,USER_0301,SKU_00366,822.1,Cash,Canada,20,1
TXN_000085,USER_0090,SKU_00308,27.11,Bank Transfer,USA,8,0
TXN_000086,USER_0229,SKU_00174,75.36,PayPal,Australia,6,0
TXN_000087,USER_0150,SKU_00462,12.79,Cash,France,12,0
TXN_000088,USER_0243,SKU_00750,153.95,Cash,France,22,0
TXN_000089,USER_0138,SKU_00678,40.15,Bank Transfer,Germany,7,0
TXN_000090,USER_0135,SKU_00596,17.3,Cash,Australia,11,0
TXN_000091,USER_0457,SKU_00493,179.2,PayPal,Canada,3,0
TXN_000092,USER_0089,SKU_00560,229.57,PayPal,France,15,0
TXN_000093,USER_0494,SKU_00639,237.48,PayPal,USA,5,0
TXN_000094,USER_0015,SKU_00681,11.91,Cash,Canada,4,0
TXN_000095,USER_0333,SKU_00866,263.37,Cash,France,0,0
TXN_000096,USER_0362,SKU_00374,40.43,Bank Transfer,USA,13,0
TXN_000097,USER_0174,SKU_00955,424.75,Cash,Germany,8,0
TXN_000098,USER_0090,SKU_00349,102.0,Cash,Germany,17,0
TXN_000099,USER_0213,SKU_00067,70.2,Bank Transfer,USA,5,0
