id,category_a,category_b,numeric_1,numeric_2,binary_flag,text_data
1,Type3,Gamma,68.11291806607592,3.5410296595575,0,Short
2,Type1,,53.04639586409115,18.650226534275188,,Medium length text
3,Type1,Beta,51.65748907984662,9.216910527095749,0,Short
4,Type1,Beta,55.79307041800601,6.050135300836702,1,Medium length text
5,Type3,Beta,,5.241394795404072,0,Medium length text
6,Type1,Alpha,52.56449083007645,6.876532601948756,1,Very long descriptive text here
7,Type2,Alpha,59.98759321231593,0.41279214876075715,0,Short
8,Type1,Alpha,35.46927572068911,22.32997058577851,0,Short
9,,Alpha,17.31768296325931,,1,Short
10,Type2,Gamma,8.487144642207689,2.0026615212813947,0,Medium length text
11,,,67.7579763786743,,0,
12,,Alpha,18.341516745650942,,1,
13,Type1,,59.306879879157535,10.8183499258779,,Short
14,Type2,,26.91288209903732,10.830564262758067,0,Medium length text
15,Type1,,27.2350810788014,18.833759501823597,1,Very long descriptive text here
16,,,35.636024789884765,,,Short
17,Type2,Beta,53.882643040112875,5.972729296360868,,Medium length text
18,Type1,Alpha,24.22816583244815,9.489569130514962,1,Medium length text
19,Type1,Gamma,37.66135059411762,11.656649126931471,1,Short
20,Type2,Gamma,49.485618556388864,7.189501734791563,0,Short
21,,,25.794764183061222,,1,Short
22,Type3,,,10.35912021955343,0,Very long descriptive text here
23,,Gamma,15.549245148123973,,0,Short
24,Type2,Beta,45.6366163509834,10.326624975978302,1,Short
25,Type1,Alpha,75.45081265171002,9.48955395268604,0,Medium length text
26,,Alpha,23.51066872218776,,1,Short
27,Type1,Gamma,47.80748299024569,10.294692530484092,1,Short
28,,Gamma,,,1,
29,Type2,,33.864590959949616,11.450651420236538,0,Short
30,Type1,Gamma,,5.968955625666121,0,Very long descriptive text here
31,Type3,,61.22888921719904,2.7663824855483155,1,Medium length text
32,,Gamma,,,,Very long descriptive text here
33,,,65.28659228260771,,0,Medium length text
34,Type1,Alpha,57.8546188076398,8.93197511309205,0,Short
35,Type1,,,35.77301041630954,,
36,Type2,Gamma,72.54908734245099,4.4859967157822975,0,Medium length text
37,Type3,Alpha,35.18125772633755,5.010951897423381,,
38,Type3,Alpha,67.11786610810427,2.2539556186524847,1,Medium length text
39,Type1,,35.539686034278645,0.7314536893739304,1,
40,,Alpha,43.67853282316528,,0,Very long descriptive text here
41,Type3,Beta,46.74711420445713,2.8725691529632753,0,
42,,Beta,,,0,Medium length text
43,Type2,Gamma,1.731036594330476,11.640249054615461,,Medium length text
44,Type2,,59.160311029797114,6.372143712395908,1,Very long descriptive text here
45,,Beta,47.95041553715181,,1,
46,Type2,Beta,55.71480322553184,5.866180617483546,1,
47,,,60.049766472442045,,0,Medium length text
48,,,57.876176759825285,,1,Very long descriptive text here
49,Type3,,9.852782954818949,19.773492073130097,1,Short
50,Type2,Beta,28.779788024239554,1.7917445062333335,1,Medium length text
51,Type1,Alpha,56.65631868652127,0.2630395391656932,0,Short
52,Type1,Beta,,0.9429480745392849,1,Medium length text
53,Type1,Gamma,34.208926289673585,3.3763927532138416,,
54,Type1,Alpha,64.75278400119763,35.848727171026304,1,Short
55,Type1,Beta,44.87149661742839,8.176138466081792,0,Very long descriptive text here
56,Type2,Alpha,,4.672262609530285,1,Medium length text
57,Type2,Beta,74.20042622891486,21.956706368421006,0,Short
58,Type2,,55.566041031263545,6.035557425027569,1,Medium length text
