date,product_category,sales_amount,quantity,discount_percent,customer_age,customer_gender,region,is_weekend,customer_satisfaction
2023-01-01,Books,82.62400000000001,6,22.5,36.0,Female,North,True,4
2023-01-02,Sports,121.77,7,20.2,31.0,Female,South,False,3
2023-01-03,Home,114.43,18,24.6,50.0,Other,West,False,4
2023-01-04,Sports,106.72,11,18.9,48.0,Male,North,False,2
2023-01-05,Sports,76.29,19,9.8,40.0,Female,South,False,2
2023-01-06,Clothing,114.14,5,14.8,,Female,East,False,4
2023-01-07,Home,125.168,19,16.5,26.0,Female,West,True,5
2023-01-08,Home,112.28800000000001,11,2.0,23.0,Male,South,True,5
2023-01-09,Home,147.8,12,13.6,8.0,Other,North,False,4
2023-01-10,Sports,84.66,10,17.7,50.0,Female,South,False,2
2023-01-11,Books,70.31,8,4.2,31.0,Male,West,False,4
2023-01-12,Home,96.23,9,19.5,31.0,Female,North,False,4
2023-01-13,Sports,101.67,4,14.6,53.0,Female,West,False,5
2023-01-14,Clothing,106.26400000000001,5,23.8,,Other,South,True,5
2023-01-15,Books,39.384,8,1.1,25.0,Female,East,True,5
2023-01-16,Clothing,145.89,9,,32.0,Female,East,False,4
2023-01-17,Books,95.26,15,15.0,21.0,Male,South,False,4
2023-01-18,Sports,87.19,15,7.4,39.0,Male,South,False,3
2023-01-19,Electronics,104.46000000000001,16,17.9,31.0,Other,South,False,5
2023-01-20,Books,50.35,14,19.0,29.0,Male,North,False,3
2023-01-21,Clothing,99.76,8,2.6,28.0,Male,West,True,1
2023-01-22,Sports,81.76,18,12.8,34.0,Other,West,True,2
2023-01-23,Books,61.3,10,12.7,36.0,Female,West,False,5
2023-01-24,Electronics,91.725,6,9.2,29.0,Other,South,False,4
2023-01-25,Electronics,134.895,12,23.3,31.0,Male,West,False,4
2023-01-26,Home,150.07,2,20.7,34.0,Other,South,False,5
2023-01-27,Home,92.21,7,17.4,33.0,Female,North,False,5
2023-01-28,Clothing,43.928,16,17.9,35.0,Other,East,True,3
2023-01-29,Books,74.104,3,11.5,27.0,Male,South,True,3
2023-01-30,Books,91.82,13,23.0,47.0,Male,South,False,5
2023-01-31,Home,19.09,3,17.4,36.0,Other,East,False,5
2023-02-01,Books,98.37,18,18.2,29.0,Female,East,False,4
2023-02-02,Books,93.07,11,21.5,39.0,Other,North,False,4
2023-02-03,Electronics,181.335,8,,34.0,Female,West,False,3
2023-02-04,Home,124.376,6,20.2,14.0,Female,South,True,5
2023-02-05,Sports,107.04000000000002,1,4.9,39.0,Other,West,True,4
2023-02-06,Home,91.93,1,8.6,23.0,Female,South,False,4
2023-02-07,Sports,66.8,8,8.4,46.0,Male,North,False,2
2023-02-08,Electronics,265.79999999999995,5,24.5,32.0,Other,East,False,5
2023-02-09,Clothing,101.78,16,21.4,44.0,Female,North,False,4
2023-02-10,Books,100.42,11,17.5,27.0,Male,East,False,3
2023-02-11,Electronics,119.13600000000002,5,18.2,36.0,Other,West,True,4
2023-02-12,Books,84.75200000000001,4,14.1,50.0,Male,West,True,4
2023-02-13,Clothing,95.67,6,23.7,32.0,Male,North,False,4
2023-02-14,Clothing,82.79,14,12.4,,Male,East,False,4
2023-02-15,Electronics,125.385,19,9.5,,Female,North,False,4
2023-02-16,Clothing,99.02,9,4.1,43.0,Other,East,False,5
2023-02-17,Sports,83.7,12,19.7,28.0,Other,East,False,2
2023-02-18,Clothing,62.888000000000005,11,18.4,11.0,Female,West,True,2
2023-02-19,Books,82.552,14,,28.0,Other,West,True,3
2023-02-20,Books,92.35,16,0.6,43.0,Male,East,False,4
2023-02-21,Books,145.12,1,21.0,26.0,Other,East,False,4
2023-02-22,Books,20.47,13,0.3,35.0,Female,East,False,5
2023-02-23,Sports,132.75,13,17.6,27.0,Male,West,False,4
2023-02-24,Home,137.38,2,24.3,12.0,Female,West,False,4
2023-02-25,Electronics,45.36,4,10.9,27.0,Male,South,True,5
2023-02-26,Books,71.776,6,5.9,43.0,Male,East,True,3
2023-02-27,Clothing,88.86,5,17.6,,Other,South,False,5
2023-02-28,Books,57.77,3,20.4,38.0,Male,East,False,4
2023-03-01,Clothing,76.67,1,13.7,21.0,Female,West,False,4
2023-03-02,Clothing,66.68,4,24.2,42.0,Other,South,False,4
2023-03-03,Books,152.57,2,1.3,44.0,Female,South,False,4
2023-03-04,Sports,102.456,5,12.6,33.0,Male,North,True,2
2023-03-05,Clothing,110.52000000000001,3,18.0,33.0,Female,East,True,4
2023-03-06,Clothing,121.65,9,21.6,,Female,West,False,4
2023-03-07,Books,66.13,6,4.5,19.0,Male,North,False,5
2023-03-08,Clothing,84.26,18,20.0,55.0,Other,North,False,4
2023-03-09,Clothing,114.68,6,13.8,25.0,Female,East,False,5
2023-03-10,Books,63.34,19,9.9,54.0,Male,North,False,4
2023-03-11,Books,97.11200000000001,12,3.3,25.0,Other,East,True,4
2023-03-12,Electronics,111.34800000000001,11,21.6,41.0,Other,North,True,5
2023-03-13,Sports,88.76,2,3.9,21.0,Other,East,False,4
2023-03-14,Sports,121.33,15,,41.0,Female,West,False,5
2023-03-15,Clothing,113.33,12,7.3,31.0,Female,East,False,4
2023-03-16,Sports,89.17,12,21.8,31.0,Female,East,False,4
2023-03-17,Clothing,134.78,9,16.8,42.0,Other,South,False,1
2023-03-18,Electronics,81.084,2,19.9,29.0,Female,West,True,4
2023-03-19,Books,94.784,3,6.3,18.0,Male,West,True,3
2023-03-20,Books,117.79,12,15.6,44.0,Female,West,False,4
2023-03-21,Books,90.71,16,14.3,21.0,Female,North,False,3
2023-03-22,Sports,109.78,1,20.8,41.0,Other,South,False,3
2023-03-23,Electronics,93.705,3,22.7,47.0,Female,West,False,3
2023-03-24,Sports,127.72,2,0.3,30.0,Male,North,False,2
2023-03-25,Sports,75.56,9,16.9,49.0,Other,North,True,3
2023-03-26,Electronics,101.184,19,1.3,41.0,Male,North,True,5
2023-03-27,Electronics,197.20499999999998,15,13.7,27.0,Other,South,False,5
2023-03-28,Electronics,118.305,18,7.2,52.0,Other,North,False,4
2023-03-29,Electronics,86.625,11,7.7,21.0,Female,South,False,5
2023-03-30,Books,53.3,16,8.8,30.0,Male,East,False,3
2023-03-31,Home,118.18,17,15.5,33.0,Other,North,False,5
2023-04-01,Home,49.272000000000006,5,8.4,42.0,Female,West,True,2
2023-04-02,Electronics,183.168,12,18.3,48.0,Other,North,True,3
2023-04-03,Home,37.54,11,10.1,48.0,Other,East,False,4
2023-04-04,Home,150.89,15,1.7,38.0,Other,East,False,2
2023-04-05,Electronics,159.495,3,19.6,32.0,Other,North,False,4
2023-04-06,Home,97.1,1,7.1,13.0,Other,East,False,4
2023-04-07,Sports,83.65,16,10.8,19.0,Other,South,False,5
2023-04-08,Clothing,89.57600000000001,2,,56.0,Female,South,True,4
