student_id,gender,race_ethnicity,parental_education,lunch_type,test_prep,math_score,reading_score,writing_score
1,Female,Group C,,Free/Reduced,None,51,57,60
2,Male,Group E,Master,Free/Reduced,None,49,52,53
3,Female,Group D,High School,Standard,None,69,71,71
4,Female,Group E,Master,Free/Reduced,Completed,39,50,60
5,Male,Group B,Bachelor,Standard,None,61,62,58
6,Female,Group B,Associate,Standard,Completed,100,91,83
7,Female,Group E,Master,Standard,None,45,52,51
8,Male,Group D,Associate,Standard,None,59,71,72
9,Female,Group E,Associate,Standard,None,33,40,40
10,Male,Group B,Bachelor,Free/Reduced,Completed,61,66,73
11,Male,Group D,Bachelor,Free/Reduced,,94,78,73
12,Male,Group B,High School,Standard,None,72,68,69
13,Female,Group D,Some College,Standard,None,56,53,52
14,Female,Group D,Master,Standard,Completed,98,86,79
15,Female,Group E,Bachelor,Free/Reduced,None,39,49,52
16,Female,Group E,Master,Free/Reduced,None,72,70,69
17,Male,Group E,Associate,Standard,None,66,64,61
18,Male,Group D,Some College,Standard,Completed,61,68,74
19,Female,Group D,High School,Free/Reduced,Completed,77,72,79
20,Male,Group B,Master,Standard,Completed,47,60,67
21,Female,Group C,Some College,Standard,None,70,62,60
22,Male,Group E,High School,Free/Reduced,None,68,77,81
23,Male,Group B,Master,Standard,Completed,52,63,75
24,Male,Group B,Some College,Standard,None,94,91,90
25,Male,Group A,Bachelor,Standard,None,62,63,66
26,Male,Group E,Master,Standard,None,63,55,56
27,Female,Group B,Some College,Free/Reduced,Completed,50,46,43
28,Female,Group A,High School,Free/Reduced,None,63,72,78
29,Male,Group E,Some College,Free/Reduced,None,100,93,87
30,Female,Group D,Bachelor,Free/Reduced,Completed,61,57,59
31,Male,Group A,Master,Standard,None,73,82,84
32,Male,Group D,Master,Free/Reduced,None,79,80,84
33,Male,Group C,,Free/Reduced,Completed,62,64,62
34,Male,Group C,Bachelor,Standard,Completed,59,54,52
35,Female,Group C,High School,Standard,Completed,72,66,68
36,Male,Group C,Master,Free/Reduced,None,61,75,89
37,Female,Group B,High School,Free/Reduced,None,60,69,73
