date,website_visits,revenue,temperature,sales_volume,customer_count,day_of_week,month,quarter,is_holiday
2022-01-01,70.69999999999999,1327.21,20.25150234507084,86,48.800000000000004,Saturday,1,1,0
2022-01-02,72.8,1397.59,20.22962758245123,84,45.6,Sunday,1,1,0
2022-01-03,107.0,1383.95,,88,62.0,Monday,1,1,1
2022-01-04,107.0,1233.86,,89,63.0,Tuesday,1,1,0
2022-01-05,98.0,1277.25,18.880801950764422,80,58.0,Wednesday,1,1,1
2022-01-06,95.0,1305.05,21.948271471166674,84,57.0,Thursday,1,1,0
2022-01-07,102.0,1260.14,26.811319559507385,76,66.0,Friday,1,1,0
2022-01-08,72.8,1294.46,18.190681531921726,84,52.0,Saturday,1,1,0
2022-01-09,72.8,1241.73,21.025296886830688,74,48.0,Sunday,1,1,0
2022-01-10,108.0,1369.24,20.96005047054207,76,64.0,Monday,1,1,0
2022-01-11,103.0,1348.02,21.70113612717791,82,61.0,Tuesday,1,1,0
2022-01-12,99.0,1267.59,24.861340423370912,82,58.0,Wednesday,1,1,0
2022-01-13,98.0,1384.97,24.160144828180478,87,60.0,Thursday,1,1,0
2022-01-14,93.0,1163.22,25.024115368560075,86,50.0,Friday,1,1,0
2022-01-15,68.6,1138.4,23.638679637418342,85,48.800000000000004,Saturday,1,1,0
2022-01-16,73.5,1323.37,21.183537556960875,88,54.400000000000006,Sunday,1,1,0
2022-01-17,105.0,1191.59,21.847280354547074,85,62.0,Monday,1,1,0
2022-01-18,106.0,1304.11,25.81687902557595,78,63.0,Tuesday,1,1,1
2022-01-19,99.0,1314.31,24.912452293464046,78,60.0,Wednesday,1,1,0
2022-01-20,95.0,1199.01,27.336279624936743,82,60.0,Thursday,1,1,0
2022-01-21,104.0,1314.09,25.646040243536355,88,62.0,Friday,1,1,0
2022-01-22,72.1,1383.95,22.935640082447065,76,52.0,Saturday,1,1,0
2022-01-23,75.6,1341.6,24.498451623344437,90,53.6,Sunday,1,1,0
2022-01-24,105.0,1376.66,26.910828691180743,87,70.0,Monday,1,1,0
2022-01-25,105.0,1321.55,27.439099774189767,86,62.0,Tuesday,1,1,0
2022-01-26,103.0,1306.73,27.964105484240303,82,56.0,Wednesday,1,1,0
2022-01-27,97.0,1148.02,24.390442805599296,81,54.0,Thursday,1,1,0
2022-01-28,102.0,1256.37,24.317113758964517,85,61.0,Friday,1,1,0
2022-01-29,72.8,1225.11,26.569263799017534,80,52.0,Saturday,1,1,1
2022-01-30,76.3,1352.91,30.056654336887426,89,50.400000000000006,Sunday,1,1,0
2022-01-31,109.0,1379.86,26.014285483542523,86,65.0,Monday,1,1,0
2022-02-01,114.0,1365.25,28.535290350264628,83,70.0,Tuesday,2,1,0
2022-02-02,104.0,1401.2,28.75653682811492,80,59.0,Wednesday,2,1,0
2022-02-03,98.0,1241.83,29.586706150450436,71,57.0,Thursday,2,1,0
2022-02-04,105.0,1315.54,31.610400649085236,89,60.0,Friday,2,1,0
2022-02-05,72.1,1325.5,31.619241845753997,84,52.0,Saturday,2,1,1
2022-02-06,77.69999999999999,1350.15,27.517612249457457,87,56.800000000000004,Sunday,2,1,0
2022-02-07,106.0,1332.6,24.719851466157397,92,59.0,Monday,2,1,0
2022-02-08,105.0,1280.51,27.76476382767364,85,63.0,Tuesday,2,1,0
2022-02-09,106.0,1399.28,29.47664794209269,77,68.0,Wednesday,2,1,0
2022-02-10,105.0,1256.93,28.802734146929843,82,64.0,Thursday,2,1,0
2022-02-11,104.0,1305.81,33.65972503249195,92,61.0,Friday,2,1,0
2022-02-12,74.89999999999999,1359.19,29.956512733117478,83,48.0,Saturday,2,1,0
2022-02-13,77.69999999999999,1406.32,31.41846568533163,90,56.0,Sunday,2,1,0
2022-02-14,109.0,1327.35,30.734568324472015,91,66.0,Monday,2,1,0
2022-02-15,108.0,1308.17,29.7929231415017,90,61.0,Tuesday,2,1,0
2022-02-16,105.0,1281.95,26.8195129236819,96,66.0,Wednesday,2,1,0
2022-02-17,107.0,1361.65,30.69169060457311,80,59.0,Thursday,2,1,0
2022-02-18,106.0,1315.17,37.53479969830237,79,63.0,Friday,2,1,0
